127.0.0.1 - - [06/Feb/2022:21:49:19 +0900] "GET / HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:49:20 +0900] "GET /BBS/ HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:49:30 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2508
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:49:30 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:49:30 +0900] "GET /docs/4.5/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:49:30 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:55:35 +0900] "GET /BBS/writeAction.jsp HTTP/1.1" 200 265
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:55:36 +0900] "GET /BBS/login.jsp HTTP/1.1" 404 1083
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:59:30 +0900] "GET /BBS/index.jsp.jsp HTTP/1.1" 200 250
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:59:30 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:59:30 +0900] "GET /docs/4.5/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:59:35 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4091
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:59:37 +0900] "GET /BBS/bbs.jsp?pageNumber=2 HTTP/1.1" 200 3366
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:59:38 +0900] "GET /BBS/bbs.jsp?pageNumber=1 HTTP/1.1" 200 4091
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:59:39 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2478
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:59:39 +0900] "GET /docs/4.5/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:59:41 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4091
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:59:44 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2142
0:0:0:0:0:0:0:1 - - [06/Feb/2022:21:59:48 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:01:07 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2115
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:01:10 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2887
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:02:05 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:02:09 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2115
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:02:11 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:02:20 +0900] "GET /BBS/login.jsp HTTP/1.1" 200 2115
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:02:23 +0900] "POST /BBS/loginAction.jsp HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:02:23 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 2436
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:02:23 +0900] "GET /docs/4.5/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:02:26 +0900] "GET /BBS/bbs.jsp HTTP/1.1" 200 4049
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:02:30 +0900] "GET /BBS/write.jsp HTTP/1.1" 200 2271
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:09:41 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:09:41 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:09:41 +0900] "GET /BBS/image/1.jpg HTTP/1.1" 200 456094
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:09:41 +0900] "GET /BBS/image/2.jpg HTTP/1.1" 200 7106
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:09:41 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 200 20127
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:09:41 +0900] "GET /BBS/image/3.jpg HTTP/1.1" 200 6694
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:09:42 +0900] "GET /docs/4.5/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:09:42 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:10:28 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3319
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:10:28 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:10:28 +0900] "GET /BBS/image/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:10:28 +0900] "GET /BBS/image/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:10:28 +0900] "GET /BBS/image/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:10:28 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:10:29 +0900] "GET /docs/4.5/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:10:29 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:13:08 +0900] "GET /BBS/join.jsp HTTP/1.1" 200 2860
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:13:20 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3319
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:13:20 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:13:20 +0900] "GET /BBS/image/1.jpg HTTP/1.1" 200 7106
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:13:20 +0900] "GET /BBS/image/2.jpg HTTP/1.1" 200 7106
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:13:20 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:13:20 +0900] "GET /BBS/image/3.jpg HTTP/1.1" 200 6694
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:13:21 +0900] "GET /docs/4.5/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:13:21 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:21:34 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3461
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:21:34 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:21:34 +0900] "GET /BBS/image/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:21:34 +0900] "GET /BBS/image/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:21:34 +0900] "GET /BBS/image/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:21:34 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:21:35 +0900] "GET /docs/4.5/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:21:35 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:21:54 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3461
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:21:54 +0900] "GET /docs/4.5/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:27:11 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3461
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:27:11 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:27:11 +0900] "GET /BBS/image/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:27:11 +0900] "GET /BBS/image/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:27:11 +0900] "GET /BBS/image/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:27:11 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:27:12 +0900] "GET /docs/4.5/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:27:12 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:28:28 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3508
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:28:28 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:28:28 +0900] "GET /BBS/css/custom.css HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:28:28 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3508
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:28:28 +0900] "GET /BBS/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:28:28 +0900] "GET /BBS/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:28:29 +0900] "GET /BBS/image/1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:28:29 +0900] "GET /BBS/image/2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:28:29 +0900] "GET /BBS/image/3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:28:29 +0900] "GET /BBS/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:28:29 +0900] "GET /docs/4.5/dist/js/bootstrap.bundle.min.js HTTP/1.1" 404 1110
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:28:29 +0900] "GET /BBS/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2022:22:28:33 +0900] "GET /BBS/main.jsp HTTP/1.1" 200 3508
